Tyres,Brakes,Suspension,Body and Chassis,Lights,Glazing,Wipers,Doors,Seat Belts,Airbags,Speedometer,Exhaust System,Fuel System,Final Score,Outcome
8,10,8,6,3,4,4,5,2,3,8,1,8,55.869565217391305,Failed
5,7,1,1,1,4,9,3,6,2,2,9,5,41.52173913043478,Failed
2,4,7,3,1,7,6,4,7,9,9,3,10,54.130434782608695,Failed
2,3,6,4,2,3,1,1,2,2,5,8,3,31.08695652173913,Failed
4,7,10,1,8,7,5,9,8,9,7,9,4,66.73913043478261,Failed
8,1,2,4,6,2,8,4,7,3,2,10,6,48.47826086956522,Failed
6,2,1,8,2,6,1,10,2,1,10,10,4,43.04347826086957,Failed
8,2,3,1,3,3,6,7,6,10,1,9,7,53.04347826086957,Failed
10,5,5,2,5,9,7,4,3,3,3,5,4,51.08695652173913,Failed
8,5,6,6,5,7,8,3,2,3,10,7,7,57.826086956521735,Failed
7,6,6,10,8,10,5,8,7,6,5,7,8,71.95652173913044,Pass
8,4,6,6,7,6,10,10,10,5,5,2,3,59.78260869565217,Failed
6,5,5,4,1,1,1,6,7,2,8,8,10,48.91304347826087,Failed
3,4,3,7,6,4,10,1,2,3,4,1,3,38.26086956521739,Failed
8,8,10,10,5,5,6,3,8,9,4,6,1,64.78260869565217,Failed
7,9,7,9,1,2,1,9,5,2,2,6,4,49.130434782608695,Failed
9,4,5,6,2,6,8,4,6,10,3,5,6,58.47826086956521,Failed
7,8,10,1,9,10,1,2,4,1,3,2,6,53.91304347826087,Failed
4,4,7,6,2,4,5,2,1,2,10,8,3,40.65217391304348,Failed
6,1,6,5,5,3,3,9,5,10,4,6,9,56.95652173913044,Failed
5,4,1,4,9,5,8,5,3,2,6,10,4,49.34782608695652,Failed
10,5,2,5,6,3,8,3,4,7,2,7,7,57.391304347826086,Failed
3,10,1,8,4,6,6,3,9,5,10,9,4,58.04347826086956,Failed
2,2,2,1,6,10,6,1,3,5,9,1,9,44.130434782608695,Failed
7,2,5,6,3,1,4,2,6,4,1,4,5,40.21739130434783,Failed
5,8,10,10,7,10,2,9,10,8,1,10,2,70.43478260869566,Pass
1,2,5,9,4,9,7,2,5,9,5,5,3,48.26086956521739,Failed
10,8,8,2,4,7,6,2,6,7,4,2,2,55.21739130434783,Failed
6,1,3,6,10,9,9,1,9,8,9,8,8,66.95652173913044,Failed
2,6,4,3,6,10,8,5,9,8,1,6,5,56.30434782608695,Failed
8,9,4,1,4,7,7,9,2,8,2,5,7,59.34782608695652,Failed
2,2,7,3,9,3,8,2,1,5,9,1,8,46.30434782608695,Failed
8,8,4,6,4,3,2,3,2,10,5,1,7,55.00000000000001,Failed
10,9,6,1,7,5,1,3,5,8,4,1,4,56.52173913043478,Failed
3,2,3,2,8,7,4,1,4,3,9,2,4,39.565217391304344,Failed
6,7,9,8,1,3,2,9,1,8,2,8,4,52.826086956521735,Failed
5,8,9,8,4,5,3,10,4,5,1,2,4,52.60869565217391,Failed
8,10,6,5,10,3,5,6,2,3,3,1,10,61.73913043478261,Failed
6,5,2,10,3,9,2,3,9,1,7,7,3,48.91304347826087,Failed
8,2,9,2,9,6,6,8,3,4,10,2,7,57.391304347826086,Failed
5,3,3,3,3,8,10,7,1,3,2,3,2,37.391304347826086,Failed
8,1,10,9,4,4,7,2,5,8,10,6,9,63.04347826086957,Failed
4,6,10,8,8,4,4,3,10,3,10,3,2,55.21739130434783,Failed
3,4,9,9,5,4,6,4,6,1,8,2,6,48.04347826086956,Failed
5,10,1,8,6,5,4,6,1,3,9,6,9,57.826086956521735,Failed
10,7,1,1,7,4,3,8,8,3,6,3,9,57.608695652173914,Failed
6,7,8,5,6,4,1,9,1,7,8,2,4,53.47826086956522,Failed
4,6,5,1,9,7,9,5,3,6,3,6,10,59.78260869565217,Failed
10,10,4,4,5,10,2,4,5,5,9,2,3,58.69565217391305,Failed
7,1,3,5,8,9,4,7,7,7,8,4,6,58.04347826086956,Failed
4,6,10,3,8,10,10,5,9,6,3,4,5,62.82608695652174,Failed
6,2,1,1,4,10,10,1,10,10,8,5,1,50.8695652173913,Failed
6,2,10,2,1,1,1,10,3,8,6,2,9,47.391304347826086,Failed
7,5,5,7,10,6,2,7,4,3,7,6,8,61.08695652173913,Failed
7,3,9,6,1,1,7,5,3,4,6,1,5,42.608695652173914,Failed
10,1,5,9,1,3,10,6,2,2,5,3,6,45.21739130434783,Failed
8,8,9,2,5,9,9,8,6,5,10,4,5,65.0,Failed
4,9,3,9,4,2,8,8,7,3,7,7,3,53.2608695652174,Failed
1,8,7,10,2,8,2,4,1,6,9,5,10,56.086956521739125,Failed
9,4,3,10,7,8,1,1,7,2,1,3,4,49.78260869565217,Failed
3,3,7,3,4,10,3,10,2,2,5,9,5,46.52173913043478,Failed
2,9,5,7,6,6,8,6,9,4,4,6,7,59.78260869565217,Failed
10,2,4,5,4,3,10,10,4,6,9,4,3,52.826086956521735,Failed
5,6,4,2,8,10,1,9,5,5,4,1,8,55.21739130434783,Failed
6,4,8,7,2,7,10,8,3,2,3,6,7,52.17391304347826,Failed
4,9,7,5,1,4,1,4,6,8,8,4,3,49.78260869565217,Failed
5,6,3,5,4,1,5,8,7,4,7,2,7,48.69565217391305,Failed
9,7,3,5,3,5,8,4,6,9,1,6,6,58.913043478260875,Failed
7,2,1,4,1,2,1,8,10,9,10,6,10,54.78260869565217,Failed
2,4,1,3,6,6,9,5,9,2,2,9,4,44.78260869565218,Failed
7,6,5,4,9,10,5,3,8,1,6,2,10,60.86956521739131,Failed
1,5,2,10,1,9,5,9,9,10,3,1,8,54.78260869565217,Failed
7,9,6,8,2,10,7,4,5,4,6,7,6,61.30434782608696,Failed
9,4,4,1,10,4,2,4,9,2,6,3,8,54.78260869565217,Failed
2,10,8,1,7,3,7,10,3,4,10,9,3,55.65217391304348,Failed
1,5,5,5,6,4,9,10,3,5,4,5,1,43.913043478260875,Failed
10,1,2,1,4,1,3,5,4,5,5,2,9,43.69565217391304,Failed
8,9,1,8,9,2,5,9,7,8,2,4,5,63.69565217391304,Failed
9,5,1,8,4,8,6,1,6,2,9,9,1,50.65217391304348,Failed
1,10,2,10,4,6,7,7,8,10,10,7,9,68.91304347826087,Failed
4,1,7,3,5,7,7,10,8,4,10,4,3,49.130434782608695,Failed
6,5,2,6,7,3,2,9,10,7,5,10,3,57.608695652173914,Failed
3,2,4,5,6,9,7,9,10,8,7,1,4,53.91304347826087,Failed
8,10,7,9,9,5,5,1,6,8,10,8,8,76.52173913043478,Pass
6,9,8,4,1,4,7,5,2,8,9,3,8,57.608695652173914,Failed
5,8,9,4,4,2,7,7,10,7,7,8,6,63.26086956521739,Failed
5,7,8,1,10,6,9,4,10,7,10,8,4,67.3913043478261,Failed
6,6,10,2,2,4,2,9,4,6,5,3,5,49.130434782608695,Failed
4,2,7,4,2,2,5,3,5,8,8,3,9,47.82608695652174,Failed
2,4,10,6,7,2,8,8,5,9,1,5,3,52.826086956521735,Failed
2,3,8,9,2,8,8,4,10,9,2,7,10,61.73913043478261,Failed
4,2,10,8,4,10,7,9,2,6,9,10,6,60.86956521739131,Failed
2,3,5,9,7,10,1,7,6,10,8,5,3,56.95652173913044,Failed
8,5,5,5,4,5,9,3,2,1,9,3,4,46.08695652173913,Failed
8,5,10,4,4,3,4,4,8,4,10,5,4,54.565217391304344,Failed
9,6,5,1,7,7,3,2,5,6,7,1,6,54.565217391304344,Failed
8,3,10,4,7,10,1,6,10,10,5,3,3,63.04347826086957,Failed
3,9,10,3,10,5,9,2,3,3,5,10,9,64.13043478260869,Failed
5,10,6,9,1,4,6,8,9,5,4,3,5,56.30434782608695,Failed
5,9,5,2,9,6,4,1,4,9,1,9,2,56.52173913043478,Failed
3,3,9,4,6,9,8,3,6,5,1,3,7,51.52173913043478,Failed
2,3,6,7,5,6,4,10,10,1,5,6,6,49.56521739130435,Failed
8,2,3,1,5,3,3,8,2,4,3,1,8,41.95652173913044,Failed
3,1,10,3,5,6,3,4,10,9,5,4,8,55.00000000000001,Failed
4,2,5,6,3,2,1,3,1,3,1,10,2,33.04347826086956,Failed
6,7,8,7,10,4,3,3,9,8,5,7,5,66.73913043478261,Failed
6,6,2,1,1,10,6,10,9,5,4,2,5,49.34782608695652,Failed
8,1,4,1,1,8,3,5,10,5,1,7,9,49.56521739130435,Failed
2,7,3,10,4,5,7,8,3,4,9,5,10,56.739130434782616,Failed
2,4,2,5,1,3,1,9,9,10,3,8,10,52.60869565217391,Failed
9,10,10,6,2,6,1,3,7,9,2,7,2,60.86956521739131,Failed
10,2,6,10,5,5,9,7,1,6,7,9,2,57.391304347826086,Failed
8,6,5,5,10,2,7,7,3,5,6,10,6,63.04347826086957,Failed
3,10,2,10,3,3,4,2,8,7,6,8,7,58.04347826086956,Failed
7,6,4,10,6,4,2,10,3,4,1,9,4,54.565217391304344,Failed
4,7,1,1,6,2,6,4,9,1,6,5,10,49.130434782608695,Failed
7,7,4,3,7,8,8,7,9,4,4,3,1,54.130434782608695,Failed
2,6,10,1,9,5,9,5,4,3,1,10,5,53.2608695652174,Failed
7,5,7,8,8,4,4,10,6,3,2,7,2,55.00000000000001,Failed
6,6,7,9,4,8,2,10,3,8,4,4,10,64.13043478260869,Failed
6,3,2,4,5,3,6,5,1,7,6,4,9,49.130434782608695,Failed
4,10,10,8,9,8,9,1,2,3,1,5,7,62.17391304347826,Failed
7,7,8,7,3,1,2,6,5,4,8,7,9,57.826086956521735,Failed
8,3,7,8,10,6,9,6,2,2,5,5,9,61.73913043478261,Failed
6,6,6,5,7,5,6,5,7,10,5,4,7,63.69565217391304,Failed
8,1,7,7,8,5,7,2,2,5,10,9,3,55.00000000000001,Failed
7,5,7,1,6,2,5,3,5,4,5,4,6,48.47826086956522,Failed
1,5,9,10,7,7,9,6,8,5,8,1,6,58.913043478260875,Failed
9,2,9,2,9,7,7,9,8,5,6,5,4,61.30434782608696,Failed
5,2,8,8,6,7,8,9,1,1,5,10,3,50.21739130434783,Failed
6,2,7,5,9,2,10,9,1,5,9,6,6,56.30434782608695,Failed
4,6,4,8,1,10,5,5,5,3,1,1,2,40.43478260869565,Failed
5,9,4,9,1,4,5,8,3,8,1,9,10,60.86956521739131,Failed
6,10,8,3,10,8,8,8,7,10,10,8,6,79.13043478260869,Pass
8,7,8,7,8,7,5,10,9,4,5,3,6,66.73913043478261,Failed
8,4,4,1,4,3,10,5,2,10,10,6,2,51.73913043478261,Failed
1,4,2,4,8,2,2,1,6,9,2,9,8,49.78260869565217,Failed
6,3,2,5,7,4,10,2,9,5,2,7,6,53.04347826086957,Failed
1,7,9,8,3,6,6,4,1,4,1,5,10,50.8695652173913,Failed
8,6,8,10,9,4,1,2,3,9,9,8,8,70.21739130434783,Pass
1,5,9,1,9,5,3,6,3,6,3,4,9,52.17391304347826,Failed
3,10,1,2,5,9,9,2,3,2,9,6,6,50.65217391304348,Failed
7,1,3,5,7,7,2,4,4,2,9,7,5,47.391304347826086,Failed
1,5,9,2,1,4,6,9,8,5,1,8,6,46.73913043478261,Failed
4,5,5,8,5,4,1,4,8,1,2,1,10,47.17391304347826,Failed
2,6,2,5,4,10,10,4,8,8,2,8,9,60.0,Failed
10,1,7,7,6,2,6,4,7,5,4,8,7,57.826086956521735,Failed
3,3,2,3,3,4,5,3,6,8,6,7,10,49.78260869565217,Failed
5,7,3,8,8,3,6,6,10,4,5,7,9,63.47826086956522,Failed
